Wavelength (nm);Interpolated Responsivity (A/W);Quantum Efficiency
613;0.37431;0.75708
614;0.37563;0.75850
615;0.37694;0.75991
616;0.37825;0.76132
617;0.37966;0.76291
618;0.38119;0.76475
619;0.38272;0.76658
620;0.38425;0.76841
621;0.38568;0.77002
622;0.38699;0.77139
623;0.38830;0.77276
624;0.38961;0.77413
625;0.39092;0.77549
626;0.39223;0.77685
627;0.39355;0.77821
628;0.39486;0.77956
629;0.39617;0.78091
630;0.39754;0.78235
631;0.39907;0.78412
632;0.40060;0.78589
633;0.40213;0.78764
634;0.40360;0.78927
635;0.40491;0.79059
636;0.40622;0.79190
637;0.40753;0.79321
638;0.40884;0.79451
639;0.41015;0.79581
640;0.41147;0.79711
641;0.41278;0.79841
642;0.41409;0.79970
643;0.41540;0.80099
644;0.41672;0.80227
645;0.41803;0.80355
646;0.41934;0.80483
647;0.42065;0.80610
648;0.42197;0.80736
649;0.42328;0.80862
650;0.42459;0.80988
651;0.42590;0.81113
652;0.42721;0.81238
653;0.42852;0.81363
654;0.42983;0.81487
655;0.43115;0.81611
656;0.43246;0.81735
657;0.43377;0.81858
658;0.43508;0.81981
659;0.43640;0.82104
660;0.43771;0.82226
661;0.43902;0.82348
662;0.44033;0.82469
663;0.44165;0.82590
664;0.44296;0.82711
665;0.44427;0.82831
666;0.44558;0.82951
667;0.44690;0.83070
668;0.44821;0.83189
669;0.44952;0.83308
670;0.45083;0.83426
671;0.45214;0.83544
672;0.45345;0.83662
673;0.45476;0.83779
674;0.45608;0.83896
675;0.45739;0.84013
676;0.45870;0.84130
677;0.46001;0.84246
678;0.46133;0.84362
679;0.46264;0.84477
680;0.46395;0.84592
681;0.46526;0.84706
682;0.46657;0.84820
683;0.46788;0.84934
684;0.46919;0.85048
685;0.47041;0.85144
686;0.47153;0.85223
687;0.47266;0.85302
688;0.47378;0.85380
689;0.47491;0.85459
690;0.47603;0.85537
691;0.47716;0.85615
692;0.47829;0.85694
693;0.47941;0.85771
694;0.48059;0.85858
695;0.48190;0.85968
696;0.48321;0.86078
697;0.48452;0.86188
698;0.48583;0.86297
699;0.48702;0.86384
700;0.48814;0.86460
701;0.48927;0.86536
702;0.49039;0.86611
703;0.49152;0.86686
704;0.49264;0.86761
705;0.49377;0.86836
706;0.49490;0.86911
707;0.49602;0.86986
708;0.49715;0.87060
709;0.49827;0.87134
710;0.49940;0.87207
711;0.50052;0.87281
712;0.50164;0.87354
713;0.50277;0.87427
714;0.50389;0.87500
715;0.50502;0.87572
716;0.50614;0.87644
717;0.50726;0.87717
718;0.50839;0.87789
719;0.50951;0.87860
720;0.51064;0.87932
721;0.51176;0.88003
722;0.51289;0.88074
723;0.51401;0.88145
724;0.51513;0.88216
725;0.51626;0.88287
726;0.51738;0.88357
727;0.51851;0.88427
728;0.51963;0.88497
729;0.52076;0.88567
730;0.52188;0.88637
731;0.52294;0.88696
732;0.52388;0.88733
733;0.52482;0.88771
734;0.52576;0.88808
735;0.52669;0.88846
736;0.52776;0.88906
737;0.52889;0.88974
738;0.53001;0.89042
739;0.53114;0.89110
740;0.53224;0.89175
741;0.53318;0.89212
742;0.53412;0.89248
743;0.53506;0.89285
744;0.53599;0.89321
745;0.53702;0.89372
746;0.53815;0.89439
747;0.53927;0.89506
748;0.54039;0.89573
749;0.54152;0.89639
750;0.54248;0.89679
751;0.54342;0.89714
752;0.54436;0.89750
753;0.54530;0.89785
754;0.54623;0.89820
755;0.54717;0.89855
756;0.54810;0.89889
757;0.54904;0.89924
758;0.54998;0.89958
759;0.55091;0.89993
760;0.55185;0.90027
761;0.55279;0.90062
762;0.55373;0.90096
763;0.55466;0.90131
764;0.55560;0.90165
765;0.55654;0.90199
766;0.55748;0.90233
767;0.55842;0.90267
768;0.55935;0.90301
769;0.56029;0.90334
770;0.56122;0.90368
771;0.56216;0.90401
772;0.56310;0.90434
773;0.56403;0.90467
774;0.56497;0.90501
775;0.56591;0.90534
776;0.56685;0.90567
777;0.56775;0.90595
778;0.56850;0.90598
779;0.56925;0.90601
780;0.57000;0.90604
781;0.57075;0.90607
