Wavelength (nm);Interpolated Responsivity (A/W);Quantum Efficiency
903;0.23229;0.31894
904;0.23080;0.31654
905;0.22950;0.31442
906;0.22821;0.31230
907;0.22691;0.31018
908;0.22562;0.30807
909;0.22432;0.30596
910;0.22302;0.30386
911;0.22151;0.30147
912;0.21996;0.29903
913;0.21840;0.29658
914;0.21684;0.29415
915;0.21529;0.29172
916;0.21385;0.28945
917;0.21255;0.28738
918;0.21125;0.28532
919;0.20996;0.28326
920;0.20866;0.28120
921;0.20737;0.27915
922;0.20607;0.27711
923;0.20477;0.27507
924;0.20348;0.27303
925;0.20218;0.27100
926;0.20088;0.26897
927;0.19959;0.26694
928;0.19829;0.26493
929;0.19685;0.26271
930;0.19529;0.26035
931;0.19373;0.25800
932;0.19218;0.25566
933;0.19062;0.25332
934;0.18907;0.25098
935;0.18751;0.24865
936;0.18595;0.24632
937;0.18440;0.24399
938;0.18284;0.24167
939;0.18128;0.23936
940;0.17995;0.23735
941;0.17865;0.23539
942;0.17736;0.23343
943;0.17606;0.23148
944;0.17476;0.22953
945;0.17347;0.22759
946;0.17206;0.22551
947;0.17051;0.22323
948;0.16895;0.22096
949;0.16739;0.21870
950;0.16584;0.21644
951;0.16428;0.21418
952;0.16273;0.21193
953;0.16117;0.20968
954;0.15961;0.20744
955;0.15805;0.20520
956;0.15650;0.20296
957;0.15467;0.20038
958;0.15273;0.19766
959;0.15078;0.19494
960;0.14884;0.19222
961;0.14705;0.18972
962;0.14550;0.18752
963;0.14394;0.18532
964;0.14239;0.18313
965;0.14083;0.18094
966;0.13926;0.17873
967;0.13731;0.17605
968;0.13536;0.17338
969;0.13342;0.17071
970;0.13147;0.16804
971;0.12982;0.16576
972;0.12826;0.16361
973;0.12671;0.16146
974;0.12515;0.15931
975;0.12360;0.15717
976;0.12204;0.15503
977;0.12049;0.15290
978;0.11893;0.15077
979;0.11738;0.14865
980;0.11582;0.14653
981;0.11427;0.14442
982;0.11271;0.14230
983;0.11115;0.14019
984;0.10959;0.13809
985;0.10804;0.13599
986;0.10648;0.13389
987;0.10510;0.13202
988;0.10380;0.13026
989;0.10251;0.12850
990;0.10121;0.12675
991;0.09991;0.12500
992;0.09862;0.12326
993;0.09735;0.12155
994;0.09618;0.11997
995;0.09502;0.11840
996;0.09385;0.11683
997;0.09268;0.11526
998;0.09152;0.11369
999;0.09035;0.11213
1000;0.08968;0.11119
1001;0.08914;0.11040
1002;0.08859;0.10962
1003;0.08804;0.10884
1004;0.08750;0.10805
1005;0.08695;0.10727
1006;0.08641;0.10649
1007;0.08586;0.10572
1008;0.08532;0.10494
1009;0.08477;0.10417
1010;0.08413;0.10328
1011;0.08245;0.10111
1012;0.08076;0.09894
1013;0.07908;0.09678
1014;0.07739;0.09463
1015;0.07570;0.09247
1016;0.07402;0.09032
1017;0.07273;0.08866
1018;0.07166;0.08727
1019;0.07059;0.08589
1020;0.06952;0.08450
1021;0.06845;0.08312
1022;0.06738;0.08174
1023;0.06631;0.08036
1024;0.06524;0.07899
1025;0.06416;0.07761
1026;0.06304;0.07618
